query_number,query_type,query_boy,query_girl,age_group,,comments,image_count,answer,hint,query_nikud,semantics,category PLS,test goal,הוספת תמונות,שינוי כללי,רמזים,expected_full_ai,expected_full_parents,expected_partial,expected_wrong
15,הבנה,איפה הילדה שקר לה,איפה הילדה שקר לה,3:00-4:00,,הצבעה נכונה,4,1,תחשוב על מה הילדה לובשת,אֵיפֹה הַיַּלְדָּה שֶׁקַּר לָהּ,סמנטיקה,מיומניות שפה אינטגרטיביות,הסקת מסקנות מתמונה,"ילדה עם מעיל,ילדה בשמש, ילד עם מעיל, ילד בשמש",אבל שיראו בוודאות שזאת ילדה וילד. ילדה עם צמות נגיד,,,,,
16,הבנה,איפה הדובי ליד הקופסא?,איפה הדובי ליד הקופסא?,3:00-4:00,,הצבעה נכונה,4,2,הצבע על חפצים בסביבה הקרובה שהם אחד ליד השני,אֵיפֹה הַדֻּבִּי לְיַד הַקֻּפְסָא,סמנטיקה,מושגים מרחביים,"זיהוי מילת מרחב ""ליד""","ליד, מאחורי, בתוך מעל מתחת, ",,,,,,
17,הבנה,תצביע על הכדור הצהוב הגדול,תצביעי על הכדור הצהוב הגדול,3:00-4:00,,הצבעה נכונה,6,2,מחווה של גודל,הַצְבֵּעַ עַל הַכַּדּוּר הַצָּהֹב הַגָּדוֹל,סמנטיקה,מושגים איכותיים,הבנת הוראה מורכבת,"צהוב גדול, צהוב קטן, אדום גדול, אדום קטן, סגול גדול סגול קטן",,,,,,
18,הבנה,מה חרוז של חלון? חלון בלון או חלון כסא? ,מה חרוז של חלון? חלון בלון או חלון כסא? ,3:00-4:00,,הצבעה נכונה,4,1,הקראה נוספת עם דגש על המילה חלון ועל התשובות,מָה חָרוּז שֶׁל חַלּוֹן?,מודעות פונולוגית,מודעות פונולוגית,הבנת מודעות פונולוגית,,"תמונה של חלון ובלון ותמונה אחת של חלון וכסא , כדור , בובה ",חלון בלון או חלון שולחן,,,,
19,הבנה,איפה הילדה שאוכלת אגס גדול וירוק?,איפה הילדה שאוכלת אגס גדול וירוק?,4:00-5:00,,הצבעה נכונה,4,1,מחווה של גדול עם הידיים,יַלְדָּה אוֹכֶלֶת אַגָּס גָּדוֹל וְיָרֹק,מבנה שפה,תחביר,הבנת הוראות מורכבות,להוסיף ילד עם אגס גדול ועם אגס קטן. לשנות את האגס הקטן שיהיה קרוב לפה שלה.,,,,,,
20,הבנה,איפה הילדה שקיבלה גלידה מאמא?,איפה הילדה שקיבלה גלידה מאמא?,4:00-5:00,,הצבעה נכונה,2,2,להגיד: אמא נותנת לה גלידה,אֵיפֹה היַלְדָּה שֶׁקִּבְּלָה גְּלִידָה מֵאִמָּא,מבנה שפה,תחביר,הבנת סביל,,,,,,,
21,הבנה,עם מה מצחצחים?,עם מה מצחצחים?,4:00-5:00,,הצבעה נכונה,4,1,מחווה של צחצוח שיניים,עִם מָה מְצַחְצְחִים?,מבנה שפה,תחביר,הבנת פעולה מחפץ,הוספתי צעצוע - לגו,,,,,,
22,הבנה,"איפה יש כדור כחול קטן, מתחת לשולחן?","איפה יש כדור כחול קטן, מתחת לשולחן?",4:00-5:00,,הצבעה נכונה,4,2,מחווה של גודל ומיקום,אֵיפֹה כַּדּוּר כָּחֹל קָטָן מִתַּחַת לַשֻּׁלְחָן,מיומניות שפה אינטגרטיביות,מיומניות שפה אינטגרטיביות,הבנת הוראות מורכבות רב שלביות,,,,,,,
23,הבנה,"תראה לי, לאיזו ילדה יש מטרייה לֹא פתוחה","תראה לי, לאיזו ילדה יש מטרייה לֹא פתוחה",4:00-5:00,,הצבעה נכונה,4,1,הקראה נוספת,אֵיפֹה הַיַּלְדָּה עִם הַשִּׂמְלָה הָאֲדֻמָּה וּמִטְרִיָּה סְגוּרָה?,מיומניות שפה אינטגרטיביות,מיומניות שפה אינטגרטיביות,הבנת הוראות מורכבות רב שלביות,"ילדה עם מטריה פתוחה, עם מטריה סגורה, ילד עם מטריה פתוחה, ועם מטריה סגורה",להחליף שאלה,תראה לי ילדה עם מטריה לא סגורה,,,,
24,הבנה,תצביע על הכלב לפני שאתה מצביע על החתול,תצביעי על הכלב לפני שאת מצביעה על החתול,4:00-5:00,,הצבעה נכונה,4,2->1,הקראה נוספת,הַצְבֵּעַ עַל הַכֶּלֶב לִפְנֵי שֶׁאַתָּה מַצְבִּיעַ עַל הֶחָתוּל,מיומניות שפה אינטגרטיביות,מיומניות שפה אינטגרטיביות,הבנת הוראות מורכבות כוללות מרכיב זמן,כלב חתול כלבים חתולים,לשנות תמונות של חיות יותר ברורות בלי רקע,,,,,
25,הבנה," תראה לי איזה כלי תחבורה לא מתאים, מה יוצא דופן?"," תראי לי איזה כלי תחבורה לא מתאים, מה יוצא דופן?",4:00-5:00,,הצבעה נכונה,4,1,מי לא נוסע איפה שכולם?,אֵיזֶה כְּלִי תַּחְבּוּרָה שׁוֹנֶה? יוֹצֵא דֹּפֶן?,מיומניות שפה אינטגרטיביות,מיומניות שפה אינטגרטיביות,הבנת יוצאי דופן מאותה קטגוריה,להוסיף אופנוע,,,,,,
26,הבנה,"אם הילד לקח טושים ודפים, תראה לי מה הוא רוצה לעשות? ","אם הילד לקח טושים ודפים, תראי לי מה הוא רוצה לעשות? ",5:00-6:00,,הצבעה נכונה,4,2,שאל מה עושים עם טושים,הַצְבֵּעַ מָה יִקְרֶה אַחַר כָּךְ,מיומניות שפה אינטגרטיביות,מיומניות שפה אינטגרטיביות,הסקת מסקנות לא מילוליות,"להוסיף: הילד אוכל, הילד משחק",,,,,,
27,הבנה,"הילדים חיכו בתור לאוטו גלידה, תראה לי איזה ילד קיבל את הגלידה ראשון","הילדים חיכו בתור לאוטו גלידה, תראי לי איזה ילד קיבל את הגלידה ראשון",5:00-6:00,,הצבעה נכונה,5,2,הכוון לסדר הילדים בתור,מִי קִבֵּל גְּלִידָה רִאשׁוֹן,מיומניות שפה אינטגרטיביות,מיומניות שפה אינטגרטיביות,סקת מסקנות מתמונה,תוסיף עוד 2 ילדים מהתור,תעשה שרואים לשני הילדים את הנעליים..כאילו שהם באותו גודל,,,,,
28,הבנה,איפה הילדה כועסת כי לקחו לה צעצוע?,איפה הילדה כועסת כי לקחו לה צעצוע?,5:00-6:00,,הצבעה נכונה,4,3,הכוון להבעות הפנים של הילדים,מִי כּוֹעֵס כִּי לָקְחוּ לוֹ צַעֲצוּעַ,מיומניות שפה אינטגרטיביות,מיומניות שפה אינטגרטיביות,סקת מסקנות מתמונה,עוד תמונה של הילדה והילד מציירים,,,,,,
29,הבנה,אם יש לך שני כדורים והוסיפו לך עוד שני כדורים. כמה כדורים יהיו לך?,אם יש לך שני כדורים והוסיפו לך עוד שני כדורים. כמה כדורים יהיו לך?,5:00-6:00,,הצבעה נכונה,4,1,ספירה עם האצבעות,אִם יֵשׁ לְךָ שְׁנֵי כַּדּוּרִים וְאוֹסִיף לְךָ עוֹד שְׁנֵי כַּדּוּרִים. כַּמָּה כַּדּוּרִים יִהְיוּ לְךָ,מיומניות שפה אינטגרטיביות,מיומניות שפה אינטגרטיביות,דמיון ושוני,להוסיך תמונה של כדור 1,,,,,,
30,הבנה,תראה לי חיה שגדולה מחתול אבל קטנה מסוס?,תראי לי חיה שגדולה מחתול אבל קטנה מסוס?,5:00-6:00,,הצבעה נכונה,4,2,מחוות לתאור גודל,הַצְבֵּעַ עַל חַיָּה גְּדוֹלָה מֵחָתוּל וּקְטַנָּה מִסּוּס,מיומניות שפה אינטגרטיביות,מיומניות שפה אינטגרטיביות,הסקת מסקנות וזכרון עבודה,"פיל, כבשה , עכבר, ציפור, ", לשנות את כל התמונות לתמונות ברורות  ובגודל האמיתי שלהן,,,,,
31,הבנה,נעל מתאימה לרגל כמו שכפפה מתאימה ל,נעל מתאימה לרגל כמו שכפפה מתאימה ל,5:00-6:00,,הצבעה נכונה,4,1,"להסביר למה נעל מתאימה לרגל כך שיבין את ההקשר למה כפפה מתאימה ליד
",נַעַל וְרֶגֶל זֶה כְּמוֹ כְּפָפָה וְ?,מיומניות שפה אינטגרטיביות,מיומניות שפה אינטגרטיביות,אנלוגיה,לשנות: יד רגל ראש ונעל,,,,,,
32,הבנה,תראה לי ילד שאין לו כובע ושהוא לא יושב,תראי לי ילד שאין לו כובע ושהוא לא יושב,5:00-6:00,,הצבעה נכונה,4,3,למה הוא נרטב כי מה אין לו?,מִי נִרְטַב כִּי שָׁכַח מִטְרִיָּה,מיומניות שפה אינטגרטיביות,מיומניות שפה אינטגרטיביות,הסקת מסקנות מתמונה,"ילד עם כובע שיושב, ילד בלי כובע שיושב,ילד שעומד בלי כובע, ילד שעומד עם כובע",,,,,,
33,הבעה,תגיד לי מה אלו,תגידי לי מה אלו,2:00-2:06,,שימוש במילה מדוייקת או במילה קרובה על פי שימוש הילד (למשל דו),2,,מה נוסע על הכביש? ובמה בועטים?,מָה אֵלּוּ?,סמנטיקה,אוצר מילים,שיום שמות עצם פשוטים,,,,"כדור, אדור, דור, דו, כגור, כדורגל אדורגל , אוטו , 
מכונית' אונית. 
","כדור, כדורגל, אוטו מכונית","האן האן, בום בום. 
קולות של מכונית וקולות של משחק","כלום., אומר לא יודע, לא עונה"
34,הבעה,תגיד לי מה הילד עושה,תגידי לי מה הילד עושה,2:00-2:06,,משתמש בפועל: נוסע,1,,מחווה של תנועת נסיעה עם היד,מָה הַיֶּלֶד עוֹשֶׂה?,מבנה שפה,מורפולוגיה,שיום פועל פשוט,,,מה הילד עושה בתוך האוטו?,"נוסענוהג באוטו, סע אאוטו, נוסע במכונית, נוהג באוטו, 
 נוהג , ","נוסע\נוהג באוטו, נוסע\נוהג במכונית","מטייל, מחייך,  הולך לבקר, יושב 
","האן האן, ביפ, אוטו, מכונית, שלום"
35,הבעה,תגיד לי מה הילד עושה,תגידי לי מה הילד עושה,2:00-2:06,,משתמש בפועל: ישן,1,,מחווה של שינה,מָה הַיֶּלֶד עוֹשֶׂה?,מבנה שפה,מורפולוגיה,שיום פועל פשוט,,,מה הילד עושה בלילה במיטה?,"ישן, יושן, ישן במיטה, שוכב במיטה, שוכב לישון","ישן, שוכב לישון","חולם במיטה, מתכסה בשמיכה,
 עייף מבמיטה, עוצם עיניים ","במיטה, נומי נומי,  בשמיכה"
36,הבעה,זה כדור קטן וזה כדור?,זה כדור קטן וזה כדור?,2:00-2:06,,משתמש בתאור גודל: גדול,1,,מחווה של תיאור גודל,זֶה כַּדּוּר קָטָן וְזֶה?,סמנטיקה,מושגים איכותיים,"שיום מושג גודל ""גדול""",,,,"גדול, כדור גדול, דדול, מאוד גדול, ענקי ","גדול, ענקי, מאוד גדול",", קטן, כחול, ","שלי, כדור "
37,הבעה,תגיד לי מה הילד רוצה לעשות?,תגידי לי מה הילד רוצה לעשות,2:00-2:06,,משתמש בפועל: לשתות,1,,עודדו הפקת פועל. אם הילד עונה רק מים שאלו. מה הוא רוצה לעשות עם המים?,מָה הַיֶּלֶד רוֹצֶה?,מבנה שפה,מורפולוגיה,הבעת פועל +שם עצם,,,מה הוא רוצה לעשות עם המים?,"לשתות מים, איתות מים, איתות, לשתות, לשתות מים בכוס
, ","לשתות, לשתות מים","לקחת את המים, לקחת כוס, ",מים
38,הבעה,זה החתול שלו וזה החתול?,זה החתול שלו וזה החתול?,2:00-2:06,,משתמש במילת היחס: שלה,2,,הקראה שוב עם אינטונציה לכיוון נקבה,זֶה הַחֲתוּל שֶׁלּוֹ וְזֶה הַחֲתוּל?,מבנה שפה,מורפולוגיה,שיום מושג יחס שלה,,,של מי החתול?,"שלה, שלה הילדה, של הילדה","שלה , של הילדה, ",ילדה,"גדול, חמוד, "
39,הבעה,תגיד לי איזה חיות אתה מכיר בתמונות,תגידי לי איזה חיות את מכירה בתמונות,2:00-2:06,,זיהוי שם החיה או קול החיה.,4,,ניתן לעודד את הילד להשמיע את קול החיה,אֵיזֶה חַיּוֹת אַתָּה מַכִּיר בַּתְּמוּנָה?,סמנטיקה,אוצר מילים,שיום שמות עצם פשוטים מתוך קטגוריה,"חתול, כלב, פרה, פיל",להחליף תמונות: חתו,מי עושה האו הא? מי עושה מיאו ומי עושה מו?,"חתול, כלב, פרה","חתול, כלב , פרה","מו, מיאוו, האו האו",
40,הבעה,תגיד לי מה אתה רואה בתמונות?,תגידי לי מה את רואה בתמונות?,2:07-3:00,,הילד אומר את שמות החפצים,4,,"אם הילד מנסה לתאר בתנועות את הפריט, ניתן לתת את הצליל הפותח של המילה לדוגמא: מיכ...(למכנסיים)",מָה אַתָּה רוֹאֶה בַּתְּמוּנָה?,סמנטיקה,אוצר מילים,שיום חפצים יום יומים,"כפית, מטוס, בננה, בובה",להחליף תמונות,בואו נגיד מה רואים בתמונה,,,,
41,הבעה,"הילד אוכל בננה, תגיד לי מה הילדה עושה","הילד אוכל בננה, תגידי לי מה הילדה עושה",2:07-3:00,,הילד משתמש בפועל בנקבה,2,,הקריאו שוב והתכוונו לילדה,"הַיֶּלֶד אוֹכֵל בָּנָנָה, וְהַיַּלְדָּה?",מבנה שפה,מורפולוגיה,הבעת פועל בנקבה,,,מה הילדה עושה? ,"אוכלת, אוכלת בננה, ","אוכלת, אוכלת בננה, ","מחזיקה , מחזיקה בננה, מקלפת בננה","אוכל, בננה, "
42,הבעה,תגיד לי מה הצבע של כל כדור,תגידי לי מה הצבע של כל כדור,2:07-3:00,,"אומר את שמות הצבעים אדום, צהוב, כחול",3,,הקריאו שוב והמנעו מלתת צליל פותח של שם הצבע,מָה הַצֶּבַע שֶׁל כֹּל כַּדּוּר?,סמנטיקה,מושגים איכותיים,שיום צבעים,,,,"אדום, כחול, צהוב","אדום, כחול, צהוב","כמו השמש, כמו השמיים, כמו הים, כמו דם",
43,הבעה,"פה יש הרבה כדורים, תגיד לי מה עוד יש הרבה?","פה יש הרבה כדורים, תגידי לי מה עוד יש הרבה?",2:07-3:00,,"הילד משתמש בלשון רבים ורבות ) לתאור הפריטים: קוביות, חתולים",3,,בובה אחת והרבה? חתול אחד והרבה?,מָה זֶה?,מבנה שפה,מורפולוגיה,הפקת שמות עצם ברבים ורבות,,,,"חתולים, קוביות, הרבה חתולים, הרבה קוביות","חתולים, קוביות, הרבה חתולים, הרבה קוביות","חתול, קוביה ",הרבה
44,הבעה,"לילד הזה יש דובי גדול, ולילד הזה יש?","לילד הזה יש דובי גדול, ולילד הזה יש?",2:07-3:00,,משתמש בתאור גודל-קטן,2,,הדגשה של מחוות גודל,לַיֶּלֶד הַזֶּה יֵשׁ דֻּבִּי גָּדוֹל וְלַיֶּלֶד הַזֶּה יֵשׁ?,סמנטיקה,מושגים איכותיים,"הפקת תאור גודל ""קטן""",,,,"דובי קטן, בובי טטן, ","דובי קטן, דובי פיצפון",קטן,"גדול, דובי"
45,הבעה,תגיד לי מה הילד אומר לאמא?,תגידי לי מה הילד אומר לאמא?,2:07-3:00,,"הילד אומר משפט בן שלוש מילים כמו: אני רוצה עוגיה, אמא תביאי לי עוגיה",1,,אם הילד אומר עוגיה שאלו שוב: אם אתה רוצה עוגיה איך תגיד לאמא?,מָה הַיֶּלֶד אוֹמֵר לְאִמָּא?,מבנה שפה,תחביר,הפקת משפט פשוט.,,להחליף לתמונה ששלחתי לך,,"אני רוצה עוגיה, אפשר עוגיה, ת
ביאי לי עוגיה, אץ יכולה להביא לי עוגיה","אני רוצה עוגיה, תביאי לי עוגיה, שתביא לו עוגיה, ","עוגיה לאכול, אכלתי עוגיה, עוגיה טעימה","עוגיה, תביא, עוד, "
46,הבעה,תגיד כמוני: הילדה שמחה כי היא קיבלה גלידה,תגידי כמוני: הילדה שמחה כי היא קיבלה גלידה,2:07-3:00,,חוזר על המשפט,1,,הקריאו שוב לאט,"תַּגִּיד כָּמוֹנִי: הַיַּלְדָּה שְׂמֵחָה כִּי הִיא קִבְּלָה גְּלִידָה"".",מבנה שפה,תחביר,חיקוי משפט סיבה ותוצאה,,,,"הילדה שמחה כי היא קיבלה גלידה
",הילדה שמחה כי היא קיבלה גלידה,"היא קיבלה גלידה, היא שמחה כי יש לה גלידה, 
היא רוצה גלידה","ילדה גלידה, "
47,הבעה,תגיד לי מה  תעשה אם הידיים שלך יהיו מלוכלכות?,תגידי לי מה תעשי אם הידיים שלך יהיו מלוכלכות?,3:00-4:00,,"שימוש בפעולה בזמן עתיד שקשורה לניקוי 
",1,1,מחווה של שטיפת ידיים,מָה תַּעֲשֶׂה אִם הַיָּדַיִם שֶׁלְּךָ יִהְיוּ מְלֻכְלָכוֹת?,מיומניות שפה אינטגרטיביות,מיומניות שפה אינטגרטיביות,עונה בהגיון על שאלות היפוטיתיות,,,,"שימוש בפעולה בזמן עתיד שקשורה לניקוי 
אשטוף ידיים, אנקה אותם, 
אשפשף אותם בסבון, ינקו לי אותם","שימוש בפעולה בזמן עתיד שקשורה לניקוי 
אשטוף ידיים, אנקה אותם, 
אשפשף אותם בסבון, ינקו לי אותם","שוטפים ידיים, מנקה\מנקים, מ",
48,הבעה,תגיד לי למה הילדה בוכה?,תגידי לי למה הילדה בוכה,3:00-4:00,,"שימוש במשפט מורכב "" בגלל ש.. או כי"" 
 יחד עם הקשר של סיבה ותוצאה ",1,,להכווין את הילד לאופניים,לָמָּה הַיַּלְדָּה בּוֹכָה?,מיומניות שפה אינטגרטיביות,מיומניות שפה אינטגרטיביות,הסקת מסקנות מתמונה,להחליף תמונה שלחתי לך,,,"שימוש במשפט מורכב "" בגלל ש.. או כי"" 
 יחד עם הקשר של סיבה ותוצאה 
(הילדה בוכה כי היא נפלה מהאופניים )
 כי יש לה פצע בגלל האופניים, 
האופניים שלה נשברו ואז היא נפלה ויש לה פצע

","שימוש במשפט מורכב "" בגלל ש.. או כי"" 
 יחד עם הקשר של סיבה ותוצאה 
 כי היא נפלה מהאופניים )
 כי יש לה פצע בגלל האופניים, 
האופניים שלה נשברו ואז היא נפלה ויש לה פצע","ניקוד על משפטי סיבה ותוצאה בלבד- ללא היגויון
: כי אין לה קסדה, 
כי האופניים שלה מלוכלכות,
 כי היא צריכה פלסטר",
49,הבעה,תספר לי איך מכינים כריך עם שוקולד? ,תספרי לי איך מכינים כריך עם שוקולד,3:00-4:00,,"שימוש בפעלים מורחים\שמים\ ושימוש ברצף זמן הגיוני
",1,,להכווין את הילד: מה הוא עושה בהתחלה? ועכשיו? ובסוף? ועכשיו תגיד הכל יחד,הַיֶּלֶד מְנַסֶּה לְהָכִין כָּרִיךְ עִם שׁוֹקוֹלָד. תּוּכַל לְהַסְבִּיר אֶת שְׁלַבֵּי הַהֲכָנָה? מָה קָרָה קֹדֶם אַחַר כָּךְ וּבַסּוֹף.,סמנטיקה,מושגים כמותיים,תאור רצף פעולות פשוט עם התחלה אמצע וסוף,,,,"שימוש בפעלים מורחים\שמים\ ושימוש ברצף זמן הגיוני
קודם לוקחים לחם ואז מורחים שוקולד ואז אוכלים,
בהתחלה לוקחים כריך ואז שמים שוקולד ואז אוכלים,
","שימוש בפעלים מורחים\שמים\ ושימוש ברצף זמן הגיוני
קודם לוקחים לחם ואז מורחים שוקולד ואז אוכלים,
בהתחלה לוקחים כריך ואז שמים שוקולד ואז אוכלים,
",שמים שוקולד ואוכלים. שימוש במשפט קצר ללא צייני זמן.,"אוכלים, לוקחים שוקולד, בסכין. 
שימוש במילה או 2 מילים בודדות, פועל בלבד, או שם עצם בלבד או פועל ושם עצם."
50,הבעה,"הילדים משחקים בגינה, תגיד לי מה כל ילד עושה","הילדים משחקים בגינה, תגידי לי מה כל ילד עושה",3:00-4:00,,הילד אומר משפטים בני 4 מילים ומעלה,1,,"אם הילד אומר משפטים פשוטים נסו לעודד אותו להגיד ומה הילדה עושה , ומה הם עושים?",סַפֵּר מָה אַתָּה רוֹאֶה בַּתְּמוּנָה,מבנה שפה,תחביר,הפקת משפטים מחוברים ומורכבים,,,,"מתאר את הפעולת של כל הילדים תוך שימוש ב""ו החיבור 
בין המשפטים. ","מתאר את הפעולת של כל הילדים תוך שימוש ב""ו החיבור 
בין המשפטים. ","משתמש רק בפעלות עצמם: מתנדנד, משחק, מתגלש. ",
51,הבעה,"לילדה קר, מה אתה תעשה אם יהיה לך קר ?","לילדה קר, מה את תעשי אם יהיה לך קר ?",3:00-4:00,,הסקת מסקנות וחשיבה ,1,,להכווין את הילד למעיל,לַיַּלְדָּה קַר. מָה תַּעֲשֶׂה אִם יִהְיֶה לְךָ קַר?,מבנה שפה,מורפולוגיה,הספקת מסקנות ותאור פועל בעתיד.,,,,"אלבש מעיל, אדליק תנור, אלבש כובע","אלבש מעיל, אדליק תנור, אלבש כובע","יהיה לי מעיל, ",קר לה
52,הבעה,אתה יכול לספור את כל הארנבות?,את יכולה לספור את כל הארנבות?,3:00-4:00,,מנייה וספירה תקינה,1,,מחווה עם האצבעות,אַתָּה יָכוֹל לִסְפֹּר לִי אֶת הָאַרְנָבוֹת?,,מושגים כמותיים,מנייה וספירה תקינה,,,,ספירה מדוייקת עד 6,ספירה מדוייקת עד 6,ספירה חלקית,לא סופר כלל
53,הבעה, תגיד לי מה עושים עם מגבת? ומה עושים עם מזלג?, תגידי לי מה עושים עם מגבת? ומה עושים עם מזלג?,3:00-4:00,,"שיוך פעולה לחפץ
במגבת מתנגבים 
במזלג אוכלים",2,,ניתן לתת רמז של צליל פותח (במגבת מית..),מָה עוֹשִׂים עִם מַגֶּבֶת? וּמָה עוֹשִׂים עִם מַזְלֵג?,מיומניות שפה אינטגרטיביות,מיומניות שפה אינטגרטיביות,שיוך פעולה לחפץ,,,,"מגבת מתנגבים ומזלג אוכלים, מייבשים את הגוף, נועצים בשניצבל","מגבת מתנגבים ומזלג אוכלים, מייבשים את הגוף, נועצים בשניצבל","שמים על גוף, שמים במקלחת, שמים באוכל","מקלחת, מים, אוכל, "
